energy,U234 + photon [inclusive] width,n + U233 width,J,Pi,L
742.5466,0.03691236,0.00136595,2,1,0
743.6241,0.03836419,8.068029e-06,2,1,0
745.3313,0.02231605,0.002457855,2,1,0
747.9808,0.04067761,0.007020867,2,1,0
749.3309,0.03571698,0.01038665,2,1,0
750.4518,0.03779635,0.0007989612,2,1,0
755.3257,0.03109917,0.0004039852,2,1,0
756.1154,0.03398064,0.01052111,2,1,0
757.0224,0.02215851,0.004987809,2,1,0
760.4876,0.02933792,0.01035838,2,1,0
760.8177,0.03830607,0.0001254443,2,1,0
761.9128,0.03667827,0.0001185285,2,1,0
763.5938,0.04642549,0.02608068,2,1,0
766.6734,0.03056976,0.006511873,2,1,0
766.9687,0.04241879,0.004959931,2,1,0
771.3442,0.03275859,0.0002811474,2,1,0
772.7294,0.03218946,0.00763901,2,1,0
775.782,0.04116203,0.006773017,2,1,0
777.4922,0.04642258,0.002098057,2,1,0
780.1543,0.03808206,0.0008821002,2,1,0
782.1885,0.01711936,0.007692712,2,1,0
783.3096,0.03771812,0.0002981293,2,1,0
787.1146,0.02714031,0.004075527,2,1,0
788.2897,0.03628863,0.003676312,2,1,0
790.8816,0.02125039,0.001890715,2,1,0
791.3665,0.01680299,0.008358146,2,1,0
792.357,0.03007661,0.0129303,2,1,0
795.3091,0.03255281,0.003400129,2,1,0
796.1199,0.01633966,0.00342297,2,1,0
800.3082,0.02698865,0.002743353,2,1,0
800.4844,0.03833468,0.001297537,2,1,0
803.3049,0.03657713,0.004714,2,1,0
805.2308,0.03970126,0.0006084022,2,1,0
806.6602,0.02509263,0.006765463,2,1,0
808.8833,0.03866419,0.003278891,2,1,0
812.4189,0.03849802,2.722404e-05,2,1,0
814.5141,0.01895008,0.006168891,2,1,0
815.8909,0.03357551,0.005358723,2,1,0
817.4853,0.03731406,0.005511869,2,1,0
817.9331,0.03879553,1.455381e-06,2,1,0
821.3177,0.03786068,0.008369701,2,1,0
823.7558,0.02492131,0.008492881,2,1,0
825.1271,0.02188697,0.01546922,2,1,0
826.181,0.04070859,0.01233138,2,1,0
831.5921,0.04460372,0.1032356,2,1,0
833.3605,0.03915404,9.417778e-05,2,1,0
833.4098,0.032132,0.00935962,2,1,0
834.8127,0.04508209,0.0007166545,2,1,0
839.2461,0.02293733,0.003043795,2,1,0
841.0012,0.03286583,0.005477879,2,1,0
842.2291,0.03870194,7.354655e-06,2,1,0
843.2441,0.03834534,0.0005676792,2,1,0
844.5034,0.03376432,0.002262727,2,1,0
846.9808,0.03683439,0.0003823522,2,1,0
851.9339,0.03696838,0.01554908,2,1,0
852.6741,0.0212145,0.01698297,2,1,0
854.0739,0.03522189,0.000360489,2,1,0
855.9064,0.03859444,0.02459637,2,1,0
857.0895,0.03801173,0.0004657496,2,1,0
858.2492,0.03896251,0.01958728,2,1,0
860.2119,0.03871986,0.000274549,2,1,0
863.6918,0.03733667,0.002070496,2,1,0
864.5902,0.03838721,0.01178572,2,1,0
866.6674,0.03892173,5.815944e-06,2,1,0
869.7257,0.03620279,0.02045031,2,1,0
871.3806,0.03318735,0.008436865,2,1,0
872.9004,0.03834443,0.0001591281,2,1,0
873.3981,0.03878266,2.166409e-05,2,1,0
875.3442,0.03490796,0.003546304,2,1,0
877.2967,0.03637725,0.03578917,2,1,0
878.6029,0.03163581,0.006639691,2,1,0
879.5185,0.02282865,0.003006507,2,1,0
881.3275,0.03805399,0.002807315,2,1,0
882.3702,0.03884181,0.0003132634,2,1,0
884.262,0.03379304,0.00431908,2,1,0
887.3819,0.0178492,0.01409056,2,1,0
890.557,0.03952883,0.01185139,2,1,0
890.8751,0.03986694,0.004664459,2,1,0
894.5884,0.03810973,0.003410422,2,1,0
898.3327,0.04051108,0.01582102,2,1,0
900.2769,0.03621228,0.0008580129,2,1,0
900.4106,0.03382757,0.001666622,2,1,0
902.7593,0.03267978,0.001692672,2,1,0
905.0818,0.03825748,0.002927771,2,1,0
907.2331,0.03855463,0.02701625,2,1,0
908.1095,0.03915859,0.001325729,2,1,0
910.8874,0.04346493,0.005708883,2,1,0
912.4146,0.03571597,0.005275799,2,1,0
913.5936,0.05282771,0.00899474,2,1,0
916.3502,0.03700073,0.001416733,2,1,0
918.3231,0.02248926,0.0040886,2,1,0
918.6452,0.02407456,0.01012892,2,1,0
919.8378,0.03665369,1.871601e-05,2,1,0
920.632,0.02781192,0.01528938,2,1,0
924.9475,0.03498172,0.002801513,2,1,0
925.4273,0.03629453,0.002248344,2,1,0
929.516,0.02374296,0.008392383,2,1,0
930.8231,0.04039276,0.009321649,2,1,0
932.0842,0.02581098,0.008568335,2,1,0
937.468,0.01188079,0.005020493,2,1,0
938.7444,0.02499447,0.0042837,2,1,0
941.0353,0.03625712,0.006789249,2,1,0
942.3734,0.03778996,0.0002916976,2,1,0
943.7146,0.03852784,0.0002085955,2,1,0
945.0053,0.03701735,0.0007417546,2,1,0
947.7287,0.04021204,0.008835645,2,1,0
950.6152,0.01807444,0.006157161,2,1,0
954.2788,0.0394284,0.02863972,2,1,0
957.5964,0.03823581,0.008602274,2,1,0
960.9151,0.03370109,0.01146001,2,1,0
961.7113,0.03477797,0.00227341,2,1,0
961.957,0.02580866,0.004249413,2,1,0
964.7993,0.02359298,0.007249164,2,1,0
965.3776,0.03804933,9.16925e-05,2,1,0
966.4988,0.03424815,0.005607498,2,1,0
967.8117,0.0380774,0.003031519,2,1,0
968.2646,0.03888972,1.049413e-06,2,1,0
970.4507,0.03419486,0.001971053,2,1,0
970.8079,0.02854694,0.007246279,2,1,0
974.3271,0.0300698,0.003836804,2,1,0
975.8754,0.03597488,0.001606181,2,1,0
975.9088,0.03279381,0.005550747,2,1,0
977.3459,0.03854326,0.0001296699,2,1,0
977.9845,0.03886472,3.784613e-05,2,1,0
982.4191,0.02777632,0.00359657,2,1,0
983.9124,0.04112096,0.003218726,2,1,0
985.3375,0.03954794,3.973995e-05,2,1,0
987.1126,0.03016211,0.01453661,2,1,0
988.2838,0.03267714,0.002929652,2,1,0
992.2303,0.03883129,0.0002118096,2,1,0
993.9067,0.04463564,0.01052177,2,1,0
995.7262,0.03473991,0.004696379,2,1,0
996.7754,0.03836766,0.0003025375,2,1,0
996.9954,0.02296378,0.00796462,2,1,0
1000.033,0.03897071,1.709162e-05,2,1,0
1001.55,0.02166477,0.01255945,2,1,0
1002.264,0.03084529,0.01595319,2,1,0
1005.809,0.03500634,0.02363894,2,1,0
1007.922,0.03743349,0.002512256,2,1,0
1010.71,0.03917132,0.0005227774,2,1,0
1012.96,0.0246015,0.002953778,2,1,0
1013.832,0.03938919,0.001956456,2,1,0
1017.817,0.03652453,0.004980482,2,1,0
1018.83,0.01403096,0.01200536,2,1,0
1023.657,0.03922209,0.0234294,2,1,0
1024.302,0.03973394,4.727642e-06,2,1,0
1024.734,0.03934042,0.0003348641,2,1,0
1028.103,0.03212426,0.01231122,2,1,0
1031.09,0.03802352,0.0003324664,2,1,0
1032.652,0.02855984,0.002319165,2,1,0
1034.283,0.03305841,0.01078488,2,1,0
1035.453,0.03876972,0.003624449,2,1,0
1037.872,0.03606191,0.002624992,2,1,0
1039.609,0.03891656,6.709175e-05,2,1,0
1039.844,0.03408253,0.004297214,2,1,0
1041.948,0.03638726,0.004381546,2,1,0
1043.759,0.0343739,0.003969474,2,1,0
1044.755,0.03790703,0.002058893,2,1,0
1046.701,0.03271688,0.002444655,2,1,0
1049.709,0.0419124,0.006259061,2,1,0
1053.1,0.03617637,0.0004579544,2,1,0
1056.019,0.03492225,0.00168851,2,1,0
1056.753,0.03431528,0.007028095,2,1,0
1058.835,0.03754454,0.02052595,2,1,0
1063.5,0.009596188,0.01166264,2,1,0
1066.229,0.02418147,0.00649665,2,1,0
1068.78,0.03739867,0.002311224,2,1,0
1071.573,0.03742805,0.005530203,2,1,0
1072.817,0.0325727,0.005591342,2,1,0
1073.583,0.0386941,0.0001950299,2,1,0
1074.831,0.03946689,0.008696019,2,1,0
1076.236,0.03845895,0.0001306558,2,1,0
1079.132,0.07256256,0.03252393,2,1,0
1080.528,0.02044869,0.008186476,2,1,0
1082.987,0.03921218,4.93002e-07,2,1,0
1084.44,0.03782541,0.001277314,2,1,0
1088.014,0.04061583,0.003433429,2,1,0
1089.892,0.0236355,0.008958587,2,1,0
1093.607,0.03759659,5.142762e-05,2,1,0
1095.489,0.03111614,0.001924419,2,1,0
1096.042,0.03657612,0.0003370221,2,1,0
1097.955,0.03692877,0.01671831,2,1,0
1102.058,0.03328559,0.003977846,2,1,0
1104.804,0.03229655,0.01154978,2,1,0
1106.222,0.03320386,0.008615665,2,1,0
1107.45,0.03861012,0.0005935768,2,1,0
1111.336,0.03617667,0.004988208,2,1,0
1112.131,0.03704727,0.005170419,2,1,0
1115.307,0.02595675,0.007345276,2,1,0
1117.956,0.03745186,0.01935815,2,1,0
1118.137,0.03784575,2.773137e-06,2,1,0
1120.111,0.03764728,0.00362831,2,1,0
1125.691,0.03021686,0.009976589,2,1,0
1126.673,0.0389509,0.01943432,2,1,0
1127.651,0.03404436,0.003436647,2,1,0
1128.259,0.01281306,0.01187752,2,1,0
1131.426,0.04198634,0.0356807,2,1,0
1133.069,0.03862455,0.001512789,2,1,0
1135.607,0.0365356,0.007517926,2,1,0
1138.392,0.0388515,0.0001538264,2,1,0
1140.386,0.03854162,0.001807739,2,1,0
1143.908,0.03820435,0.0005260016,2,1,0
1144.832,0.04114438,0.006989477,2,1,0
1145.439,0.03303553,0.0008938261,2,1,0
1148.98,0.04266518,0.09133481,2,1,0
