energy,Th233 + photon [inclusive] width,n + Th232 width,J,Pi,L
2532.802,0.0244,0.0008797558,0.5,-1,1
2537.507,0.0244,0.002418909,0.5,-1,1
2564.087,0.0244,6.171488e-05,0.5,-1,1
2583.902,0.0244,3.666184e-06,0.5,-1,1
2615.01,0.0244,0.006561144,0.5,-1,1
2633.739,0.0244,0.0007392365,0.5,-1,1
2655.002,0.0244,0.002287682,0.5,-1,1
2672.14,0.0244,0.001796244,0.5,-1,1
2673.793,0.0244,0.0002068139,0.5,-1,1
2694.502,0.0244,0.0007791269,0.5,-1,1
2718.064,0.0244,0.004381365,0.5,-1,1
2726.341,0.0244,2.761249e-06,0.5,-1,1
2726.5,0.0244,0.006,0.5,-1,1
2729.606,0.0244,3.181761e-06,0.5,-1,1
2752.499,0.0244,0.001823657,0.5,-1,1
2775.715,0.0244,3.662972e-05,0.5,-1,1
2784.718,0.0244,0.002451706,0.5,-1,1
2795.121,0.0244,3.762981e-06,0.5,-1,1
2809.392,0.0244,0.0001165637,0.5,-1,1
2826.844,0.0244,0.0006078263,0.5,-1,1
2837.985,0.0244,0.001600612,0.5,-1,1
2871.296,0.0244,0.001462751,0.5,-1,1
2879.744,0.0244,2.90793e-06,0.5,-1,1
2915.445,0.0244,0.002313813,0.5,-1,1
2933.478,0.0244,0.0008070768,0.5,-1,1
2953.948,0.0244,0.001771206,0.5,-1,1
2962.124,0.0244,0.001505643,0.5,-1,1
2982.054,0.0244,0.01023511,0.5,-1,1
2989.219,0.0244,0.001857686,0.5,-1,1
3004.939,0.0244,0.0008113496,0.5,-1,1
3023.731,0.0244,0.002693261,0.5,-1,1
3026.692,0.0244,2.512742e-05,0.5,-1,1
3044.166,0.0244,3.085241e-05,0.5,-1,1
3070.065,0.0244,0.0007080933,0.5,-1,1
3098.354,0.0244,6.940512e-05,0.5,-1,1
3114.664,0.0244,0.004347093,0.5,-1,1
3115.765,0.0244,0.001137062,0.5,-1,1
3120.0,0.0244,0.004527693,0.5,-1,1
3148.494,0.0244,0.002399859,0.5,-1,1
3156.532,0.0244,0.0017226,0.5,-1,1
3192.946,0.0244,0.0008610019,0.5,-1,1
3197.603,0.0244,0.0006858209,0.5,-1,1
3219.093,0.0244,0.005185572,0.5,-1,1
3228.062,0.0244,0.0003427926,0.5,-1,1
3245.92,0.0244,0.01296089,0.5,-1,1
3248.83,0.0244,3.978919e-06,0.5,-1,1
3257.24,0.0244,3.375986e-05,0.5,-1,1
3273.185,0.0244,0.01634044,0.5,-1,1
3296.564,0.0244,0.02035702,0.5,-1,1
3309.55,0.0244,0.0002517488,0.5,-1,1
3317.43,0.0244,0.001034221,0.5,-1,1
3324.066,0.0244,0.0001944107,0.5,-1,1
3330.571,0.0244,0.001309313,0.5,-1,1
3344.891,0.0244,0.01363008,0.5,-1,1
3375.908,0.0244,0.0004708415,0.5,-1,1
3412.723,0.0244,0.01018758,0.5,-1,1
3430.723,0.0244,9.983779e-05,0.5,-1,1
3461.011,0.0244,0.0004226728,0.5,-1,1
3484.944,0.0244,5.076982e-05,0.5,-1,1
3513.919,0.0244,0.0007132676,0.5,-1,1
3516.727,0.0244,7.537844e-05,0.5,-1,1
3534.771,0.0244,0.000187479,0.5,-1,1
3548.279,0.0244,0.00220939,0.5,-1,1
3566.368,0.0244,0.000137324,0.5,-1,1
3572.916,0.0244,0.003868083,0.5,-1,1
3609.903,0.0244,0.0007973017,0.5,-1,1
3619.0,0.0244,0.004,0.5,-1,1
3637.882,0.0244,7.514983e-05,0.5,-1,1
3662.749,0.0244,0.001142273,0.5,-1,1
3669.021,0.0244,0.002864834,0.5,-1,1
3675.8,0.0244,0.004,0.5,-1,1
3681.338,0.0244,0.0001149043,0.5,-1,1
3690.859,0.0244,5.07793e-05,0.5,-1,1
3695.386,0.0244,0.001989516,0.5,-1,1
3713.163,0.0244,0.002295684,0.5,-1,1
3717.818,0.0244,0.0002048702,0.5,-1,1
3738.853,0.0244,0.003385203,0.5,-1,1
3765.519,0.0244,4.789313e-05,0.5,-1,1
3775.182,0.0244,0.001265462,0.5,-1,1
3796.668,0.0244,6.185527e-06,0.5,-1,1
3810.609,0.0244,0.0004138208,0.5,-1,1
3847.596,0.0244,0.0006541945,0.5,-1,1
3864.279,0.0244,0.0005039619,0.5,-1,1
3869.827,0.0244,0.005695359,0.5,-1,1
3875.444,0.0244,0.0003905789,0.5,-1,1
3890.653,0.0244,0.001797277,0.5,-1,1
3917.577,0.0244,0.005305447,0.5,-1,1
13.1187,0.0244,1.521e-07,1.5,-1,1
38.1976,0.0244,3.17e-07,1.5,-1,1
47.0626,0.0244,1.016e-06,1.5,-1,1
58.7873,0.0244,4.562e-06,1.5,-1,1
103.5423,0.0244,2.379e-06,1.5,-1,1
108.8094,0.0244,3.105e-08,1.5,-1,1
114.6011,0.0244,1.532e-06,1.5,-1,1
128.2592,0.0244,3.807e-05,1.5,-1,1
135.6319,0.0244,1.126e-06,1.5,-1,1
139.53,0.0244,1.2e-06,1.5,-1,1
163.0059,0.0244,4.245e-07,1.5,-1,1
166.9,0.0244,3e-06,1.5,-1,1
179.1461,0.0244,2.279e-05,1.5,-1,1
187.683,0.0244,1.253e-07,1.5,-1,1
196.2801,0.0244,4.928e-05,1.5,-1,1
211.0681,0.0244,1.158e-05,1.5,-1,1
214.6042,0.0244,2.413e-07,1.5,-1,1
231.7845,0.0244,1.084e-05,1.5,-1,1
238.0002,0.0244,2.88e-07,1.5,-1,1
242.4859,0.0244,2.703e-05,1.5,-1,1
255.1021,0.0244,2.111e-06,1.5,-1,1
264.1082,0.0244,1.019e-08,1.5,-1,1
264.9549,0.0244,5.051e-08,1.5,-1,1
272.5096,0.0244,6.45e-06,1.5,-1,1
277.025,0.0244,6.38e-06,1.5,-1,1
290.6196,0.0244,4.258e-05,1.5,-1,1
302.7183,0.0244,7.514e-05,1.5,-1,1
317.2071,0.0244,3.056e-07,1.5,-1,1
321.9049,0.0244,2.322e-05,1.5,-1,1
332.6727,0.0244,1.164e-05,1.5,-1,1
347.9637,0.0244,3.255e-07,1.5,-1,1
350.5585,0.0244,7.463e-06,1.5,-1,1
361.3344,0.0244,4.934e-05,1.5,-1,1
376.7549,0.0244,2.249e-06,1.5,-1,1
380.7735,0.0244,8.882e-05,1.5,-1,1
