energy,Pu240 + photon [inclusive] width,n + Pu239 width,J,Pi,L
4540.273,0.04,0.3159561,0,1,0
4560.931,0.04,0.0007123546,0,1,0
4561.3,0.04,0.001890917,0,1,0
4584.302,0.04,0.004762866,0,1,0
4591.87,0.04,0.001723734,0,1,0
4596.846,0.04,0.7302762,0,1,0
4599.609,0.04,0.03355129,0,1,0
4609.665,0.04,0.00113461,0,1,0
4624.984,0.04,0.003601375,0,1,0
4627.721,0.04,0.01388821,0,1,0
4640.055,0.04,0.03555707,0,1,0
4642.027,0.04,0.01362211,0,1,0
4644.243,0.04,0.03809287,0,1,0
4655.472,0.04,0.02083516,0,1,0
4669.804,0.04,0.03460836,0,1,0
4676.218,0.04,0.04977301,0,1,0
4705.716,0.04,0.2220828,0,1,0
4707.515,0.04,0.03731712,0,1,0
4713.612,0.04,0.05222521,0,1,0
4725.235,0.04,0.03497055,0,1,0
4730.13,0.04,0.21245,0,1,0
4747.824,0.04,0.08828664,0,1,0
4749.58,0.04,0.01522967,0,1,0
4756.024,0.04,0.005289428,0,1,0
4759.162,0.04,3.710629e-05,0,1,0
4773.702,0.04,0.006217346,0,1,0
4776.396,0.04,0.005226321,0,1,0
4787.577,0.04,0.005199956,0,1,0
4810.334,0.04,0.01700111,0,1,0
4823.268,0.04,0.008422597,0,1,0
4827.16,0.04,1.808739,0,1,0
4832.708,0.04,0.02350096,0,1,0
4835.994,0.04,0.001175509,0,1,0
4869.757,0.04,0.001173892,0,1,0
4886.039,0.04,0.006549298,0,1,0
4886.139,0.04,0.01123075,0,1,0
4897.762,0.04,0.0198439,0,1,0
4909.002,0.04,0.04605395,0,1,0
4918.778,0.04,0.009681901,0,1,0
4929.924,0.04,0.0003776348,0,1,0
4931.001,0.04,0.0008011689,0,1,0
4954.896,0.04,0.06021753,0,1,0
4980.644,0.04,0.005817978,0,1,0
5012.0,0.03927,0.4412,0,1,0
-150.02,0.04119705,0.5099776,1,1,0
-8.068555,0.04932027,0.0001572197,1,1,0
0.2958948,0.03988637,8.107608e-05,1,1,0
7.821985,0.04045782,0.0008039479,1,1,0
10.93149,0.03652167,0.001811482,1,1,0
11.90851,0.03568766,0.001013679,1,1,0
14.3303,0.02964359,0.000615543,1,1,0
14.68669,0.03269264,0.001961328,1,1,0
17.6653,0.03332926,0.001812861,1,1,0
22.25349,0.03154194,0.002672944,1,1,0
23.93603,0.03697286,8.993224e-05,1,1,0
26.27735,0.04279416,0.00158196,1,1,0
27.33282,0.03653109,0.0001499456,1,1,0
35.496,0.03954051,0.0002925819,1,1,0
41.4978,0.03680347,0.004137962,1,1,0
41.76735,0.02755986,0.0008731959,1,1,0
44.54397,0.0405258,0.006338867,1,1,0
50.15872,0.02177446,0.002981181,1,1,0
52.66942,0.04462903,0.009692145,1,1,0
55.7215,0.03753685,0.001474079,1,1,0
59.30441,0.03388975,0.004525075,1,1,0
63.18527,0.0385891,0.0006747924,1,1,0
65.85113,0.04542752,0.01003172,1,1,0
74.18497,0.03175752,0.00324757,1,1,0
75.06204,0.04103538,0.0213613,1,1,0
79.09457,0.0634478,6.331955e-05,1,1,0
82.80152,0.04685,0.0003302993,1,1,0
85.63984,0.02618,0.006993242,1,1,0
90.85484,0.03399,0.01216419,1,1,0
93.07943,0.03764,0.0006859974,1,1,0
95.50517,0.06316,0.002063776,1,1,0
103.1473,0.0390179,0.00161336,1,1,0
105.4491,0.0369572,0.00487861,1,1,0
106.8242,0.0401859,0.01049629,1,1,0
110.5424,0.039,0.0005098179,1,1,0
115.1523,0.039,0.0005261977,1,1,0
119.0031,0.0405001,0.01816535,1,1,0
121.166,0.03475467,0.002668347,1,1,0
123.6129,0.05448998,0.0005731746,1,1,0
126.3795,0.04433934,0.001733708,1,1,0
127.7049,0.03807883,0.0005429547,1,1,0
133.9704,0.03706473,0.00597357,1,1,0
139.4379,0.04046013,9.430294e-05,1,1,0
143.1433,0.02919127,0.003341271,1,1,0
143.6628,0.03703204,0.004503913,1,1,0
146.458,0.03943747,0.00753214,1,1,0
148.4239,0.04105206,0.0003229606,1,1,0
149.6312,0.03747636,0.001606154,1,1,0
157.1508,0.03918334,0.001386888,1,1,0
162.1292,0.04025781,0.0001120563,1,1,0
164.6979,0.04456044,0.02826034,1,1,0
167.2728,0.04167247,0.006252513,1,1,0
