energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
208150.1,0.395,1.277784,2,-1,0
208894.7,0.395,0.7160772,2,-1,0
211321.8,0.395,276.1796,2,-1,0
212395.2,0.395,756.6097,2,-1,0
217301.8,0.395,0.8148132,2,-1,0
217572.8,0.395,1.063018,2,-1,0
218436.8,0.395,10.54384,2,-1,0
218596.4,0.395,38.59718,2,-1,0
219180.0,0.395,13.08671,2,-1,0
219357.1,0.395,138.4352,2,-1,0
219862.1,0.395,80.82238,2,-1,0
221886.9,0.395,102.9598,2,-1,0
223658.1,0.395,59.93722,2,-1,0
226160.3,0.395,175.0601,2,-1,0
226963.3,0.395,112.0561,2,-1,0
231619.0,0.395,4.156937,2,-1,0
232823.5,0.395,48.84328,2,-1,0
235233.9,0.395,63.73015,2,-1,0
236335.8,0.395,28.31762,2,-1,0
242403.4,0.395,0.6104979,2,-1,0
242802.7,0.395,717.2224,2,-1,0
245390.0,0.395,0.4310317,2,-1,0
245683.7,0.395,578.9778,2,-1,0
247816.6,0.395,0.3705809,2,-1,0
252844.5,0.395,0.06713769,2,-1,0
254435.7,0.395,24.5852,2,-1,0
258664.3,0.395,1.107212,2,-1,0
264935.0,0.395,472.0621,2,-1,0
266654.8,0.395,189.0862,2,-1,0
268563.1,0.395,673.7403,2,-1,0
272877.0,0.395,602.955,2,-1,0
273258.0,0.395,154.9714,2,-1,0
275493.6,0.395,430.042,2,-1,0
277592.8,0.395,2.33831,2,-1,0
278253.0,0.395,95.65492,2,-1,0
283764.9,0.395,68.71099,2,-1,0
287514.4,0.395,1368.195,2,-1,0
290460.4,0.395,86.70175,2,-1,0
292246.0,0.395,35.04544,2,-1,0
296198.9,0.395,72.42003,2,-1,0
297516.5,0.395,3.57775,2,-1,0
298633.6,0.395,712.5088,2,-1,0
299914.3,0.395,200.9653,2,-1,0
311203.5,0.395,28.53775,2,-1,0
344470.6,0.395,7612.806,2,-1,0
576.9614,0.3636408,0.0007041288,0,1,1
2323.417,0.3693003,0.1496501,0,1,1
5814.535,0.3392998,0.003067194,0,1,1
5840.844,0.3679956,0.1125084,0,1,1
6150.825,0.3513018,0.05256211,0,1,1
6568.519,0.333971,0.01124984,0,1,1
6998.983,0.3686946,0.3595966,0,1,1
8389.038,0.44839,2.678376,0,1,1
9138.928,0.5671357,2.054386,0,1,1
9195.174,0.5957457,1.419305,0,1,1
11123.09,0.3521474,0.4381594,0,1,1
13123.28,0.3661793,0.01459797,0,1,1
13792.3,0.3193241,0.02189037,0,1,1
14068.85,0.4723541,2.601178,0,1,1
16744.65,0.4941165,7.267221,0,1,1
19469.7,0.3697701,0.0006801373,0,1,1
20167.58,0.3702018,0.02830579,0,1,1
20666.43,0.3705512,0.1173257,0,1,1
22031.66,0.4740012,19.26153,0,1,1
23078.5,0.372517,8.181421,0,1,1
23401.33,0.3713204,0.2229435,0,1,1
23476.43,0.3710036,0.1748047,0,1,1
23612.01,0.3764091,7.424581,0,1,1
25463.65,0.370687,0.1004578,0,1,1
25750.82,0.4074994,6.61539,0,1,1
26971.54,0.402158,4.217611,0,1,1
29155.52,0.4431918,16.79096,0,1,1
29777.16,0.3706232,0.06486872,0,1,1
30938.43,0.3892388,16.18487,0,1,1
34555.92,0.4071547,12.88181,0,1,1
35601.71,0.3683139,0.2502765,0,1,1
36116.91,0.405466,26.93338,0,1,1
36203.39,0.3717815,0.1154803,0,1,1
47270.13,0.3939005,4.523996,0,1,1
49772.71,0.3842658,44.88269,0,1,1
50364.56,0.3726396,72.45225,0,1,1
50820.83,0.3931306,41.41098,0,1,1
50997.89,0.3700365,0.1401219,0,1,1
52899.19,0.359744,68.40612,0,1,1
54854.64,0.3778881,1.069545,0,1,1
58151.64,0.3665543,7.202331,0,1,1
58399.9,0.3812863,18.77407,0,1,1
58545.85,0.3736305,14.74296,0,1,1
62519.94,0.3700016,0.00833433,0,1,1
63629.22,0.3820514,26.45358,0,1,1
64557.13,0.381207,311.185,0,1,1
66261.58,0.3728683,43.78298,0,1,1
68742.96,0.3840675,8.235466,0,1,1
69335.78,0.3763386,122.3228,0,1,1
70283.61,0.3801463,57.55298,0,1,1
73359.89,0.3761953,27.00121,0,1,1
73907.61,0.3660612,30.44502,0,1,1
74313.44,0.3610883,17.99978,0,1,1
77308.7,0.3767085,173.2854,0,1,1
77406.4,0.3759758,15.6064,0,1,1
83395.08,0.3756311,132.971,0,1,1
83449.66,0.3751804,75.24501,0,1,1
91051.05,0.3705557,1.227415,0,1,1
94849.68,0.3757057,33.74527,0,1,1
95672.88,0.3683691,52.88972,0,1,1
97371.25,0.3680851,11.083,0,1,1
97776.46,0.3724425,20.14041,0,1,1
98611.44,0.3685117,6.187306,0,1,1
99708.48,0.373811,25.44198,0,1,1
100198.1,0.37,0.755865,0,1,1
102272.5,0.37,115.5128,0,1,1
102764.4,0.37,1.220358,0,1,1
103019.5,0.37,11.413,0,1,1
105100.7,0.37,11.74696,0,1,1
106822.4,0.37,456.3674,0,1,1
108908.9,0.37,15.19436,0,1,1
109895.7,0.37,51.6077,0,1,1
110129.5,0.37,0.4844076,0,1,1
110436.0,0.37,108.1874,0,1,1
110804.9,0.37,78.40879,0,1,1
111738.9,0.37,22.47133,0,1,1
113432.1,0.37,53.40194,0,1,1
114380.2,0.37,15.8051,0,1,1
114735.2,0.37,62.65675,0,1,1
114975.5,0.37,45.84091,0,1,1
115268.4,0.37,34.011,0,1,1
115472.5,0.37,51.60124,0,1,1
116075.7,0.37,36.37479,0,1,1
117640.2,0.37,681.2604,0,1,1
120457.3,0.37,71.41652,0,1,1
122060.1,0.37,488.8298,0,1,1
122094.5,0.37,11.00439,0,1,1
122388.8,0.37,179.2319,0,1,1
124086.3,0.37,288.1269,0,1,1
124287.2,0.37,210.8199,0,1,1
124844.2,0.37,384.3674,0,1,1
125995.3,0.37,68.84636,0,1,1
126185.9,0.37,17.05633,0,1,1
127210.8,0.37,43.79656,0,1,1
127317.8,0.37,2.335706,0,1,1
127814.4,0.37,40.39395,0,1,1
128147.8,0.37,68.7981,0,1,1
128331.5,0.37,57.53365,0,1,1
128745.4,0.37,32.05882,0,1,1
129006.1,0.37,30.582,0,1,1
129169.5,0.37,36.30098,0,1,1
129667.2,0.37,36.06056,0,1,1
130414.8,0.37,44.9762,0,1,1
133938.7,0.37,1435.492,0,1,1
