energy,Rh104 + photon [inclusive] width,n + Rh103 width,J,Pi,L
3141.792,0.1471004,0.005727896,2,1,1
3156.852,0.1482037,0.01339626,2,1,1
3200.057,0.1510955,0.003003368,2,1,1
3212.485,0.1486351,0.002914289,2,1,1
3227.991,0.1451673,0.006719472,2,1,1
3258.066,0.1502117,0.00370697,2,1,1
3315.686,0.4149701,0.007656505,2,1,1
3363.12,0.1457667,0.002530663,2,1,1
3419.426,0.1496113,0.002754722,2,1,1
3461.708,0.1503906,0.005350776,2,1,1
3469.856,0.1519771,0.01099557,2,1,1
3537.696,0.1489277,0.005809432,2,1,1
3618.57,0.1500841,0.00152104,2,1,1
3726.943,0.1511005,0.005979141,2,1,1
3768.9,0.1500843,0.005315661,2,1,1
3798.965,0.1490041,0.003897317,2,1,1
3840.378,0.1515854,0.006284825,2,1,1
3923.612,0.1508058,0.0027996,2,1,1
3983.244,0.148848,0.006203754,2,1,1
4032.763,0.1523357,0.002389379,2,1,1
4039.717,0.1546572,0.00996157,2,1,1
4093.793,0.1565656,0.004265164,2,1,1
4154.782,0.1561021,0.007771353,2,1,1
4161.3,0.1505795,0.002164239,2,1,1
4171.036,0.1532085,0.006903213,2,1,1
4197.722,0.1599973,0.00072281,2,1,1
4216.35,0.1561159,0.001994663,2,1,1
4249.557,0.1529412,0.002357034,2,1,1
4260.394,0.1531344,0.003094874,2,1,1
4277.487,0.1510478,0.0339761,2,1,1
4290.955,0.1511778,0.001844348,2,1,1
4310.973,0.1577474,0.004454799,2,1,1
4317.571,0.1601339,0.01385903,2,1,1
4328.068,0.1510789,0.005954416,2,1,1
4331.034,0.1098393,0.05576982,2,1,1
4368.484,0.1516828,0.006362064,2,1,1
4402.707,0.1610992,0.009018245,2,1,1
4419.4,0.1522748,0.008259061,2,1,1
4431.805,0.15432,0.006549677,2,1,1
4473.559,0.1524512,0.00028754,2,1,1
4528.805,0.1651174,0.0356792,2,1,1
4593.641,0.1495512,0.006875071,2,1,1
4652.793,0.1699471,0.04753029,2,1,1
4671.339,0.1540172,0.00895999,2,1,1
4712.55,0.1603707,0.009247746,2,1,1
4753.973,0.1590534,0.01334149,2,1,1
4825.143,0.14093,0.007069541,2,1,1
4894.097,0.1723617,0.03353926,2,1,1
4916.18,0.1425416,0.03090334,2,1,1
4975.139,0.176523,0.2462294,2,1,1
5108.838,0.1503482,0.01207068,2,1,1
5136.49,0.1582047,0.005080515,2,1,1
5143.378,0.150321,0.001720194,2,1,1
5155.655,0.1568613,0.01000803,2,1,1
5167.634,0.1507069,0.006635507,2,1,1
5265.003,0.1479084,0.023161,2,1,1
5280.756,0.1559599,0.01243804,2,1,1
5694.471,0.1435032,0.0290896,2,1,1
5875.163,0.1506071,0.01069572,2,1,1
5903.316,0.150801,0.0004874278,2,1,1
6090.78,0.1162905,0.3257182,2,1,1
6266.229,0.1512073,0.01502295,2,1,1
6410.601,0.1500538,0.001870427,2,1,1
6472.773,0.1505028,0.009226534,2,1,1
6654.162,0.1517993,0.0196347,2,1,1
6935.203,0.1493103,0.02202259,2,1,1
7059.612,0.1509518,0.008054516,2,1,1
7166.546,0.1251829,0.03024916,2,1,1
7375.737,0.1478406,0.02010122,2,1,1
7429.706,0.1650658,0.03342108,2,1,1
7654.238,0.1537682,0.01749199,2,1,1
7670.872,0.151053,0.003380774,2,1,1
7690.155,0.1626334,0.01054738,2,1,1
7749.315,0.14519,0.01323345,2,1,1
7781.824,0.1496182,4.091251e-05,2,1,1
7843.361,0.1599497,0.006545069,2,1,1
7857.288,0.1514447,0.01245195,2,1,1
9241.496,0.15,0.1194838,2,1,1
